model,variant,context,runs,tokens_s_median,tokens_s_min,tokens_s_max,tokens_s_stddev,ms_token_median
Qwen/Qwen2.5-0.5B,fp16,512,5,155.7886160708,148.7957800843,157.2041541770,3.1097515805,6.4189542549
Qwen/Qwen2.5-0.5B,gptq,512,5,141.4556523195,139.9060611236,142.0424938230,0.7249762790,7.0693534235
Qwen/Qwen2.5-0.5B,awq,512,5,142.4437719884,139.7461748144,144.1942418443,1.5050633015,7.0203139530
Qwen/Qwen2.5-0.5B,texelator,512,5,183.5212925197,179.8172332141,188.5272113026,3.0370080960,5.4489590078
Qwen/Qwen2.5-1.5B,fp16,512,5,137.8349829406,135.9505967860,139.4346551915,1.1171173414,7.2550522274
Qwen/Qwen2.5-1.5B,gptq,512,5,123.1880040373,120.1961448363,123.9016833066,1.2998901049,8.1176735334
Qwen/Qwen2.5-1.5B,awq,512,5,123.4273164813,117.4629195614,124.2800254641,2.4941898676,8.1019342274
Qwen/Qwen2.5-1.5B,texelator,512,5,163.0212790145,159.0117005015,165.3911416443,2.4862054100,6.1341685334
Qwen/Qwen2.5-3B,fp16,512,5,96.2054104399,95.3102772794,96.6245994165,0.4861796411,10.3944257961
Qwen/Qwen2.5-3B,gptq,512,5,103.3864319435,99.6581860613,106.1341118983,2.1024806843,9.6724490942
Qwen/Qwen2.5-3B,awq,512,5,102.9072249913,101.3827883573,103.8624985085,0.8479203489,9.7174906824
Qwen/Qwen2.5-3B,texelator,512,5,132.3880338314,131.5813033387,136.1085421706,1.6768669295,7.5535527726
deepseek-ai/deepseek-coder-1.3b-base,fp16,512,5,177.0179059172,174.9004239758,180.2097358505,1.8952325142,5.6491460275
deepseek-ai/deepseek-coder-1.3b-base,gptq,512,5,155.5261904481,153.4750585626,160.7049760009,2.9262189488,6.4297852157
deepseek-ai/deepseek-coder-1.3b-base,awq,512,5,160.6624594816,156.8338069264,162.0002866341,1.7965547801,6.2242293765
deepseek-ai/deepseek-coder-1.3b-base,texelator,512,5,211.8466849482,202.9966311747,213.4338120548,3.9618979202,4.7203948471
