model,context,texelator_over_gptq
Qwen2.5-0.5B,128,1.3192564637
Qwen2.5-0.5B,512,1.2973768776
Qwen2.5-0.5B,2048,1.2756439473
Qwen2.5-0.5B,4096,1.2939380336
Qwen2.5-0.5B,8192,1.3046305409
Qwen2.5-1.5B,128,1.3029960415
Qwen2.5-1.5B,512,1.3233535220
Qwen2.5-1.5B,2048,1.3302746622
Qwen2.5-1.5B,4096,1.3410387223
Qwen2.5-1.5B,8192,1.3474957482
Qwen2.5-3B,128,1.3286316145
Qwen2.5-3B,512,1.2805165179
Qwen2.5-3B,2048,1.3415602035
Qwen2.5-3B,4096,1.3086117478
Qwen2.5-3B,8192,1.2820530817
DeepSeek-Coder-1.3B,128,1.3517438457
DeepSeek-Coder-1.3B,512,1.3621286829
DeepSeek-Coder-1.3B,2048,1.3248935432
DeepSeek-Coder-1.3B,4096,1.1984884688
DeepSeek-Coder-1.3B,8192,0.9805388972
